<<<<<<< HEAD
"StepwiseID","Algorithm","RemovedFeature","MeanAccuracy"
1,"XGBT","Pos347_AAIndex_EISD860102_min",0.720843508343508
1,"Stack","Pos291_AAIndex_DIGM050101_max",0.66023606023606
1,"Stack","Pos293_AAIndex_WILM950104_max",0.751134513634514
1,"Stack","Pos315_AAIndex_KARP850102_min",0.661772486772487
1,"Stack","Pos340_AAIndex_BHAR880101_median",0.682142857142857
1,"Stack","Pos343_AAIndex_ROSM880102_mean",0.671311558811559
1,"Stack","Pos344_AAIndex_CHAM820101_mean",0.729461741961742
1,"Stack","Pos347_AAIndex_EISD860102_min",0.696723646723647
2,"SVM","Pos291_AAIndex_DIGM050101_max",0.602314814814815
2,"SVM","Pos315_AAIndex_KARP850102_min",0.656812169312169
2,"SVM","Pos340_AAIndex_BHAR880101_median",0.569118844118844
2,"SVM","Pos343_AAIndex_ROSM880102_mean",0.631089743589744
2,"SVM","Pos344_AAIndex_CHAM820101_mean",0.641849816849817
2,"SVM","Pos347_AAIndex_EISD860102_min",0.648183760683761
2,"RF","Pos291_AAIndex_DIGM050101_max",0.670385632885633
2,"RF","Pos315_AAIndex_KARP850102_min",0.623463573463574
2,"RF","Pos340_AAIndex_BHAR880101_median",0.66207264957265
2,"RF","Pos343_AAIndex_ROSM880102_mean",0.719622507122507
2,"RF","Pos344_AAIndex_CHAM820101_mean",0.735871998371998
2,"RF","Pos347_AAIndex_EISD860102_min",0.743579568579569
2,"GBM","Pos291_AAIndex_DIGM050101_max",0.698239723239723
2,"GBM","Pos315_AAIndex_KARP850102_min",0.61039886039886
2,"GBM","Pos340_AAIndex_BHAR880101_median",0.63513431013431
2,"GBM","Pos343_AAIndex_ROSM880102_mean",0.578805453805454
2,"GBM","Pos344_AAIndex_CHAM820101_mean",0.641997354497355
2,"GBM","Pos347_AAIndex_EISD860102_min",0.665043752543753
2,"XGBL","Pos291_AAIndex_DIGM050101_max",0.663970288970289
2,"XGBL","Pos315_AAIndex_KARP850102_min",0.581486568986569
2,"XGBL","Pos340_AAIndex_BHAR880101_median",0.670319495319495
2,"XGBL","Pos343_AAIndex_ROSM880102_mean",0.670848595848596
2,"XGBL","Pos344_AAIndex_CHAM820101_mean",0.720299145299145
2,"XGBL","Pos347_AAIndex_EISD860102_min",0.714031339031339
2,"XGBT","Pos291_AAIndex_DIGM050101_max",0.677411477411477
2,"XGBT","Pos315_AAIndex_KARP850102_min",0.60499592999593
2,"XGBT","Pos340_AAIndex_BHAR880101_median",0.65489417989418
2,"XGBT","Pos343_AAIndex_ROSM880102_mean",0.631547619047619
2,"XGBT","Pos344_AAIndex_CHAM820101_mean",0.754339641839642
2,"XGBT","Pos347_AAIndex_EISD860102_min",0.702904965404965
2,"Stack","Pos291_AAIndex_DIGM050101_max",0.662449124949125
2,"Stack","Pos315_AAIndex_KARP850102_min",0.646891534391534
2,"Stack","Pos340_AAIndex_BHAR880101_median",0.679166666666667
2,"Stack","Pos343_AAIndex_ROSM880102_mean",0.710612535612536
2,"Stack","Pos344_AAIndex_CHAM820101_mean",0.752737077737078
2,"Stack","Pos347_AAIndex_EISD860102_min",0.729375254375254
3,"SVM","Pos291_AAIndex_DIGM050101_max",0.618945868945869
3,"SVM","Pos315_AAIndex_KARP850102_min",0.634442409442409
3,"SVM","Pos340_AAIndex_BHAR880101_median",0.5627849002849
3,"SVM","Pos343_AAIndex_ROSM880102_mean",0.616208791208791
3,"SVM","Pos347_AAIndex_EISD860102_min",0.624145299145299
3,"RF","Pos291_AAIndex_DIGM050101_max",0.647568172568173
3,"RF","Pos315_AAIndex_KARP850102_min",0.594149369149369
3,"RF","Pos340_AAIndex_BHAR880101_median",0.658180708180708
3,"RF","Pos343_AAIndex_ROSM880102_mean",0.758923483923484
3,"RF","Pos347_AAIndex_EISD860102_min",0.799974562474562
3,"GBM","Pos291_AAIndex_DIGM050101_max",0.664367114367114
3,"GBM","Pos315_AAIndex_KARP850102_min",0.634523809523809
3,"GBM","Pos340_AAIndex_BHAR880101_median",0.602085877085877
3,"GBM","Pos343_AAIndex_ROSM880102_mean",0.569037444037444
3,"GBM","Pos347_AAIndex_EISD860102_min",0.699084249084249
3,"XGBL","Pos291_AAIndex_DIGM050101_max",0.694424094424094
3,"XGBL","Pos315_AAIndex_KARP850102_min",0.561711436711437
3,"XGBL","Pos340_AAIndex_BHAR880101_median",0.662382987382987
3,"XGBL","Pos343_AAIndex_ROSM880102_mean",0.696642246642247
3,"XGBL","Pos347_AAIndex_EISD860102_min",0.776017501017501
3,"XGBT","Pos291_AAIndex_DIGM050101_max",0.709238909238909
3,"XGBT","Pos315_AAIndex_KARP850102_min",0.560042735042735
3,"XGBT","Pos340_AAIndex_BHAR880101_median",0.696723646723647
3,"XGBT","Pos343_AAIndex_ROSM880102_mean",0.689316239316239
3,"XGBT","Pos347_AAIndex_EISD860102_min",0.753729141229141
3,"Stack","Pos291_AAIndex_DIGM050101_max",0.678403540903541
3,"Stack","Pos315_AAIndex_KARP850102_min",0.600483312983313
3,"Stack","Pos340_AAIndex_BHAR880101_median",0.657570207570208
3,"Stack","Pos343_AAIndex_ROSM880102_mean",0.701455026455026
3,"Stack","Pos347_AAIndex_EISD860102_min",0.82477614977615
4,"SVM","Pos291_AAIndex_DIGM050101_max",0.561711436711437
4,"SVM","Pos315_AAIndex_KARP850102_min",0.650167887667888
4,"SVM","Pos340_AAIndex_BHAR880101_median",0.553627391127391
4,"SVM","Pos343_AAIndex_ROSM880102_mean",0.614606227106227
4,"RF","Pos291_AAIndex_DIGM050101_max",0.710678673178673
4,"RF","Pos315_AAIndex_KARP850102_min",0.665359177859178
4,"RF","Pos340_AAIndex_BHAR880101_median",0.76227614977615
4,"RF","Pos343_AAIndex_ROSM880102_mean",0.813568376068376
4,"GBM","Pos291_AAIndex_DIGM050101_max",0.723799348799349
4,"GBM","Pos315_AAIndex_KARP850102_min",0.647273097273097
4,"GBM","Pos340_AAIndex_BHAR880101_median",0.624984737484737
4,"GBM","Pos343_AAIndex_ROSM880102_mean",0.578657916157916
4,"XGBL","Pos291_AAIndex_DIGM050101_max",0.745395807895808
4,"XGBL","Pos315_AAIndex_KARP850102_min",0.639336589336589
4,"XGBL","Pos340_AAIndex_BHAR880101_median",0.743432030932031
4,"XGBL","Pos343_AAIndex_ROSM880102_mean",0.765491452991453
4,"XGBT","Pos291_AAIndex_DIGM050101_max",0.697547822547823
4,"XGBT","Pos315_AAIndex_KARP850102_min",0.637734025234025
4,"XGBT","Pos340_AAIndex_BHAR880101_median",0.73244301994302
4,"XGBT","Pos343_AAIndex_ROSM880102_mean",0.75295584045584
4,"Stack","Pos291_AAIndex_DIGM050101_max",0.703881766381766
4,"Stack","Pos315_AAIndex_KARP850102_min",0.689168701668702
4,"Stack","Pos340_AAIndex_BHAR880101_median",0.745182132682133
4,"Stack","Pos343_AAIndex_ROSM880102_mean",0.756181318681319
5,"SVM","Pos291_AAIndex_DIGM050101_max",0.643136955636956
5,"SVM","Pos315_AAIndex_KARP850102_min",0.672456247456247
5,"SVM","Pos340_AAIndex_BHAR880101_median",0.513863451363451
5,"RF","Pos291_AAIndex_DIGM050101_max",0.798143060643061
5,"RF","Pos315_AAIndex_KARP850102_min",0.54722730972731
5,"RF","Pos340_AAIndex_BHAR880101_median",0.784864672364672
5,"GBM","Pos291_AAIndex_DIGM050101_max",0.672583435083435
5,"GBM","Pos315_AAIndex_KARP850102_min",0.602996540496541
5,"GBM","Pos340_AAIndex_BHAR880101_median",0.65725986975987
5,"XGBL","Pos291_AAIndex_DIGM050101_max",0.744785307285307
5,"XGBL","Pos315_AAIndex_KARP850102_min",0.601027676027676
5,"XGBL","Pos340_AAIndex_BHAR880101_median",0.790969678469678
5,"XGBT","Pos291_AAIndex_DIGM050101_max",0.760047822547823
5,"XGBT","Pos315_AAIndex_KARP850102_min",0.578047415547416
5,"XGBT","Pos340_AAIndex_BHAR880101_median",0.726785714285714
5,"Stack","Pos291_AAIndex_DIGM050101_max",0.775920838420838
5,"Stack","Pos315_AAIndex_KARP850102_min",0.617282254782255
5,"Stack","Pos340_AAIndex_BHAR880101_median",0.768991656491656
=======
"StepwiseID","Algorithm","RemovedFeature","MeanAccuracy"
0,"SVM",NA,0.655738705738706
0,"RF",NA,0.689779202279202
0,"GBM",NA,0.6496336996337
0,"XGBL",NA,0.687942612942613
0,"XGBT",NA,0.680469067969068
0,"Stack",NA,0.704660154660155
1,"SVM","Pos291_AAIndex_DIGM050101_max",0.673590761090761
1,"SVM","Pos293_AAIndex_WILM950104_max",0.641849816849817
1,"SVM","Pos315_AAIndex_KARP850102_min",0.681232193732194
1,"SVM","Pos340_AAIndex_BHAR880101_median",0.617958892958893
1,"SVM","Pos343_AAIndex_ROSM880102_mean",0.681679894179894
1,"SVM","Pos344_AAIndex_CHAM820101_mean",0.656201668701669
1,"SVM","Pos347_AAIndex_EISD860102_min",0.64757326007326
1,"RF","Pos291_AAIndex_DIGM050101_max",0.638410663410663
1,"RF","Pos293_AAIndex_WILM950104_max",0.727706552706553
1,"RF","Pos315_AAIndex_KARP850102_min",0.685582010582011
1,"RF","Pos340_AAIndex_BHAR880101_median",0.674206349206349
1,"RF","Pos343_AAIndex_ROSM880102_mean",0.678256003256003
1,"RF","Pos344_AAIndex_CHAM820101_mean",0.720533170533171
1,"RF","Pos347_AAIndex_EISD860102_min",0.706115181115181
1,"GBM","Pos291_AAIndex_DIGM050101_max",0.683516483516484
1,"GBM","Pos293_AAIndex_WILM950104_max",0.643218355718356
1,"GBM","Pos315_AAIndex_KARP850102_min",0.649023199023199
1,"GBM","Pos340_AAIndex_BHAR880101_median",0.663756613756614
1,"GBM","Pos343_AAIndex_ROSM880102_mean",0.633597883597884
1,"GBM","Pos344_AAIndex_CHAM820101_mean",0.70252849002849
1,"GBM","Pos347_AAIndex_EISD860102_min",0.659157509157509
1,"XGBL","Pos291_AAIndex_DIGM050101_max",0.677330077330077
1,"XGBL","Pos293_AAIndex_WILM950104_max",0.720762108262108
1,"XGBL","Pos315_AAIndex_KARP850102_min",0.624984737484737
1,"XGBL","Pos340_AAIndex_BHAR880101_median",0.677035002035002
1,"XGBL","Pos343_AAIndex_ROSM880102_mean",0.630937118437118
1,"XGBL","Pos344_AAIndex_CHAM820101_mean",0.698026048026048
1,"XGBL","Pos347_AAIndex_EISD860102_min",0.683511396011396
1,"XGBT","Pos291_AAIndex_DIGM050101_max",0.663212250712251
1,"XGBT","Pos293_AAIndex_WILM950104_max",0.661161986161986
1,"XGBT","Pos315_AAIndex_KARP850102_min",0.602085877085877
1,"XGBT","Pos340_AAIndex_BHAR880101_median",0.654746642246642
1,"XGBT","Pos343_AAIndex_ROSM880102_mean",0.680387667887668
1,"XGBT","Pos344_AAIndex_CHAM820101_mean",0.720762108262108
1,"XGBT","Pos347_AAIndex_EISD860102_min",0.720843508343508
1,"Stack","Pos291_AAIndex_DIGM050101_max",0.66023606023606
1,"Stack","Pos293_AAIndex_WILM950104_max",0.751134513634514
1,"Stack","Pos315_AAIndex_KARP850102_min",0.661772486772487
1,"Stack","Pos340_AAIndex_BHAR880101_median",0.682142857142857
1,"Stack","Pos343_AAIndex_ROSM880102_mean",0.671311558811559
1,"Stack","Pos344_AAIndex_CHAM820101_mean",0.729461741961742
1,"Stack","Pos347_AAIndex_EISD860102_min",0.696723646723647
2,"SVM","Pos291_AAIndex_DIGM050101_max",0.602314814814815
2,"SVM","Pos315_AAIndex_KARP850102_min",0.656812169312169
2,"SVM","Pos340_AAIndex_BHAR880101_median",0.569118844118844
2,"SVM","Pos343_AAIndex_ROSM880102_mean",0.631089743589744
2,"SVM","Pos344_AAIndex_CHAM820101_mean",0.641849816849817
2,"SVM","Pos347_AAIndex_EISD860102_min",0.648183760683761
2,"RF","Pos291_AAIndex_DIGM050101_max",0.670385632885633
2,"RF","Pos315_AAIndex_KARP850102_min",0.623463573463574
2,"RF","Pos340_AAIndex_BHAR880101_median",0.66207264957265
2,"RF","Pos343_AAIndex_ROSM880102_mean",0.719622507122507
2,"RF","Pos344_AAIndex_CHAM820101_mean",0.735871998371998
2,"RF","Pos347_AAIndex_EISD860102_min",0.743579568579569
2,"GBM","Pos291_AAIndex_DIGM050101_max",0.698239723239723
2,"GBM","Pos315_AAIndex_KARP850102_min",0.61039886039886
2,"GBM","Pos340_AAIndex_BHAR880101_median",0.63513431013431
2,"GBM","Pos343_AAIndex_ROSM880102_mean",0.578805453805454
2,"GBM","Pos344_AAIndex_CHAM820101_mean",0.641997354497355
2,"GBM","Pos347_AAIndex_EISD860102_min",0.665043752543753
2,"XGBL","Pos291_AAIndex_DIGM050101_max",0.663970288970289
2,"XGBL","Pos315_AAIndex_KARP850102_min",0.581486568986569
2,"XGBL","Pos340_AAIndex_BHAR880101_median",0.670319495319495
2,"XGBL","Pos343_AAIndex_ROSM880102_mean",0.670848595848596
2,"XGBL","Pos344_AAIndex_CHAM820101_mean",0.720299145299145
2,"XGBL","Pos347_AAIndex_EISD860102_min",0.714031339031339
2,"XGBT","Pos291_AAIndex_DIGM050101_max",0.677411477411477
2,"XGBT","Pos315_AAIndex_KARP850102_min",0.60499592999593
2,"XGBT","Pos340_AAIndex_BHAR880101_median",0.65489417989418
2,"XGBT","Pos343_AAIndex_ROSM880102_mean",0.631547619047619
2,"XGBT","Pos344_AAIndex_CHAM820101_mean",0.754339641839642
2,"XGBT","Pos347_AAIndex_EISD860102_min",0.702904965404965
2,"Stack","Pos291_AAIndex_DIGM050101_max",0.662449124949125
2,"Stack","Pos315_AAIndex_KARP850102_min",0.646891534391534
2,"Stack","Pos340_AAIndex_BHAR880101_median",0.679166666666667
2,"Stack","Pos343_AAIndex_ROSM880102_mean",0.710612535612536
2,"Stack","Pos344_AAIndex_CHAM820101_mean",0.752737077737078
2,"Stack","Pos347_AAIndex_EISD860102_min",0.729375254375254
3,"SVM","Pos291_AAIndex_DIGM050101_max",0.618945868945869
3,"SVM","Pos315_AAIndex_KARP850102_min",0.634442409442409
3,"SVM","Pos340_AAIndex_BHAR880101_median",0.5627849002849
3,"SVM","Pos343_AAIndex_ROSM880102_mean",0.616208791208791
3,"SVM","Pos347_AAIndex_EISD860102_min",0.624145299145299
3,"RF","Pos291_AAIndex_DIGM050101_max",0.647568172568173
3,"RF","Pos315_AAIndex_KARP850102_min",0.594149369149369
3,"RF","Pos340_AAIndex_BHAR880101_median",0.658180708180708
3,"RF","Pos343_AAIndex_ROSM880102_mean",0.758923483923484
3,"RF","Pos347_AAIndex_EISD860102_min",0.799974562474562
3,"GBM","Pos291_AAIndex_DIGM050101_max",0.664367114367114
3,"GBM","Pos315_AAIndex_KARP850102_min",0.634523809523809
3,"GBM","Pos340_AAIndex_BHAR880101_median",0.602085877085877
3,"GBM","Pos343_AAIndex_ROSM880102_mean",0.569037444037444
3,"GBM","Pos347_AAIndex_EISD860102_min",0.699084249084249
3,"XGBL","Pos291_AAIndex_DIGM050101_max",0.694424094424094
3,"XGBL","Pos315_AAIndex_KARP850102_min",0.561711436711437
3,"XGBL","Pos340_AAIndex_BHAR880101_median",0.662382987382987
3,"XGBL","Pos343_AAIndex_ROSM880102_mean",0.696642246642247
3,"XGBL","Pos347_AAIndex_EISD860102_min",0.776017501017501
3,"XGBT","Pos291_AAIndex_DIGM050101_max",0.709238909238909
3,"XGBT","Pos315_AAIndex_KARP850102_min",0.560042735042735
3,"XGBT","Pos340_AAIndex_BHAR880101_median",0.696723646723647
3,"XGBT","Pos343_AAIndex_ROSM880102_mean",0.689316239316239
3,"XGBT","Pos347_AAIndex_EISD860102_min",0.753729141229141
3,"Stack","Pos291_AAIndex_DIGM050101_max",0.678403540903541
3,"Stack","Pos315_AAIndex_KARP850102_min",0.600483312983313
3,"Stack","Pos340_AAIndex_BHAR880101_median",0.657570207570208
3,"Stack","Pos343_AAIndex_ROSM880102_mean",0.701455026455026
3,"Stack","Pos347_AAIndex_EISD860102_min",0.82477614977615
4,"SVM","Pos291_AAIndex_DIGM050101_max",0.561711436711437
4,"SVM","Pos315_AAIndex_KARP850102_min",0.650167887667888
4,"SVM","Pos340_AAIndex_BHAR880101_median",0.553627391127391
4,"SVM","Pos343_AAIndex_ROSM880102_mean",0.614606227106227
4,"RF","Pos291_AAIndex_DIGM050101_max",0.710678673178673
4,"RF","Pos315_AAIndex_KARP850102_min",0.665359177859178
4,"RF","Pos340_AAIndex_BHAR880101_median",0.76227614977615
4,"RF","Pos343_AAIndex_ROSM880102_mean",0.813568376068376
4,"GBM","Pos291_AAIndex_DIGM050101_max",0.723799348799349
4,"GBM","Pos315_AAIndex_KARP850102_min",0.647273097273097
4,"GBM","Pos340_AAIndex_BHAR880101_median",0.624984737484737
4,"GBM","Pos343_AAIndex_ROSM880102_mean",0.578657916157916
4,"XGBL","Pos291_AAIndex_DIGM050101_max",0.745395807895808
4,"XGBL","Pos315_AAIndex_KARP850102_min",0.639336589336589
4,"XGBL","Pos340_AAIndex_BHAR880101_median",0.743432030932031
4,"XGBL","Pos343_AAIndex_ROSM880102_mean",0.765491452991453
4,"XGBT","Pos291_AAIndex_DIGM050101_max",0.697547822547823
4,"XGBT","Pos315_AAIndex_KARP850102_min",0.637734025234025
4,"XGBT","Pos340_AAIndex_BHAR880101_median",0.73244301994302
4,"XGBT","Pos343_AAIndex_ROSM880102_mean",0.75295584045584
4,"Stack","Pos291_AAIndex_DIGM050101_max",0.703881766381766
4,"Stack","Pos315_AAIndex_KARP850102_min",0.689168701668702
4,"Stack","Pos340_AAIndex_BHAR880101_median",0.745182132682133
4,"Stack","Pos343_AAIndex_ROSM880102_mean",0.756181318681319
5,"SVM","Pos291_AAIndex_DIGM050101_max",0.643136955636956
5,"SVM","Pos315_AAIndex_KARP850102_min",0.672456247456247
5,"SVM","Pos340_AAIndex_BHAR880101_median",0.513863451363451
5,"RF","Pos291_AAIndex_DIGM050101_max",0.798143060643061
5,"RF","Pos315_AAIndex_KARP850102_min",0.54722730972731
5,"RF","Pos340_AAIndex_BHAR880101_median",0.784864672364672
5,"GBM","Pos291_AAIndex_DIGM050101_max",0.672583435083435
5,"GBM","Pos315_AAIndex_KARP850102_min",0.602996540496541
5,"GBM","Pos340_AAIndex_BHAR880101_median",0.65725986975987
5,"XGBL","Pos291_AAIndex_DIGM050101_max",0.744785307285307
5,"XGBL","Pos315_AAIndex_KARP850102_min",0.601027676027676
5,"XGBL","Pos340_AAIndex_BHAR880101_median",0.790969678469678
5,"XGBT","Pos291_AAIndex_DIGM050101_max",0.760047822547823
5,"XGBT","Pos315_AAIndex_KARP850102_min",0.578047415547416
5,"XGBT","Pos340_AAIndex_BHAR880101_median",0.726785714285714
5,"Stack","Pos291_AAIndex_DIGM050101_max",0.775920838420838
5,"Stack","Pos315_AAIndex_KARP850102_min",0.617282254782255
5,"Stack","Pos340_AAIndex_BHAR880101_median",0.768991656491656
>>>>>>> origin/master
